Date,Year,MonthName,MonthNumber,Quarter,WeekNumber,DayOfWeek
2023-01-01,2023,January,1,1,52,Sunday
2023-01-02,2023,January,1,1,1,Monday
2023-01-03,2023,January,1,1,1,Tuesday
2023-01-04,2023,January,1,1,1,Wednesday
2023-01-05,2023,January,1,1,1,Thursday
2023-01-06,2023,January,1,1,1,Friday
2023-01-07,2023,January,1,1,1,Saturday
2023-01-08,2023,January,1,1,1,Sunday
2023-01-09,2023,January,1,1,2,Monday
2023-01-10,2023,January,1,1,2,Tuesday
2023-01-11,2023,January,1,1,2,Wednesday
2023-01-12,2023,January,1,1,2,Thursday
2023-01-13,2023,January,1,1,2,Friday
2023-01-14,2023,January,1,1,2,Saturday
2023-01-15,2023,January,1,1,2,Sunday
2023-01-16,2023,January,1,1,3,Monday
2023-01-17,2023,January,1,1,3,Tuesday
2023-01-18,2023,January,1,1,3,Wednesday
2023-01-19,2023,January,1,1,3,Thursday
2023-01-20,2023,January,1,1,3,Friday
2023-01-21,2023,January,1,1,3,Saturday
2023-01-22,2023,January,1,1,3,Sunday
2023-01-23,2023,January,1,1,4,Monday
2023-01-24,2023,January,1,1,4,Tuesday
2023-01-25,2023,January,1,1,4,Wednesday
2023-01-26,2023,January,1,1,4,Thursday
2023-01-27,2023,January,1,1,4,Friday
2023-01-28,2023,January,1,1,4,Saturday
2023-01-29,2023,January,1,1,4,Sunday
2023-01-30,2023,January,1,1,5,Monday
2023-01-31,2023,January,1,1,5,Tuesday
2023-02-01,2023,February,2,1,5,Wednesday
2023-02-02,2023,February,2,1,5,Thursday
2023-02-03,2023,February,2,1,5,Friday
2023-02-04,2023,February,2,1,5,Saturday
2023-02-05,2023,February,2,1,5,Sunday
2023-02-06,2023,February,2,1,6,Monday
2023-02-07,2023,February,2,1,6,Tuesday
2023-02-08,2023,February,2,1,6,Wednesday
2023-02-09,2023,February,2,1,6,Thursday
2023-02-10,2023,February,2,1,6,Friday
2023-02-11,2023,February,2,1,6,Saturday
2023-02-12,2023,February,2,1,6,Sunday
2023-02-13,2023,February,2,1,7,Monday
2023-02-14,2023,February,2,1,7,Tuesday
2023-02-15,2023,February,2,1,7,Wednesday
2023-02-16,2023,February,2,1,7,Thursday
2023-02-17,2023,February,2,1,7,Friday
2023-02-18,2023,February,2,1,7,Saturday
2023-02-19,2023,February,2,1,7,Sunday
2023-02-20,2023,February,2,1,8,Monday
2023-02-21,2023,February,2,1,8,Tuesday
2023-02-22,2023,February,2,1,8,Wednesday
2023-02-23,2023,February,2,1,8,Thursday
2023-02-24,2023,February,2,1,8,Friday
2023-02-25,2023,February,2,1,8,Saturday
2023-02-26,2023,February,2,1,8,Sunday
2023-02-27,2023,February,2,1,9,Monday
2023-02-28,2023,February,2,1,9,Tuesday
2023-03-01,2023,March,3,1,9,Wednesday
2023-03-02,2023,March,3,1,9,Thursday
2023-03-03,2023,March,3,1,9,Friday
2023-03-04,2023,March,3,1,9,Saturday
2023-03-05,2023,March,3,1,9,Sunday
2023-03-06,2023,March,3,1,10,Monday
2023-03-07,2023,March,3,1,10,Tuesday
2023-03-08,2023,March,3,1,10,Wednesday
2023-03-09,2023,March,3,1,10,Thursday
2023-03-10,2023,March,3,1,10,Friday
2023-03-11,2023,March,3,1,10,Saturday
2023-03-12,2023,March,3,1,10,Sunday
2023-03-13,2023,March,3,1,11,Monday
2023-03-14,2023,March,3,1,11,Tuesday
2023-03-15,2023,March,3,1,11,Wednesday
2023-03-16,2023,March,3,1,11,Thursday
2023-03-17,2023,March,3,1,11,Friday
2023-03-18,2023,March,3,1,11,Saturday
2023-03-19,2023,March,3,1,11,Sunday
2023-03-20,2023,March,3,1,12,Monday
2023-03-21,2023,March,3,1,12,Tuesday
2023-03-22,2023,March,3,1,12,Wednesday
2023-03-23,2023,March,3,1,12,Thursday
2023-03-24,2023,March,3,1,12,Friday
2023-03-25,2023,March,3,1,12,Saturday
2023-03-26,2023,March,3,1,12,Sunday
2023-03-27,2023,March,3,1,13,Monday
2023-03-28,2023,March,3,1,13,Tuesday
2023-03-29,2023,March,3,1,13,Wednesday
2023-03-30,2023,March,3,1,13,Thursday
2023-03-31,2023,March,3,1,13,Friday
2023-04-01,2023,April,4,2,13,Saturday
2023-04-02,2023,April,4,2,13,Sunday
2023-04-03,2023,April,4,2,14,Monday
2023-04-04,2023,April,4,2,14,Tuesday
2023-04-05,2023,April,4,2,14,Wednesday
2023-04-06,2023,April,4,2,14,Thursday
2023-04-07,2023,April,4,2,14,Friday
2023-04-08,2023,April,4,2,14,Saturday
2023-04-09,2023,April,4,2,14,Sunday
2023-04-10,2023,April,4,2,15,Monday
2023-04-11,2023,April,4,2,15,Tuesday
2023-04-12,2023,April,4,2,15,Wednesday
2023-04-13,2023,April,4,2,15,Thursday
2023-04-14,2023,April,4,2,15,Friday
2023-04-15,2023,April,4,2,15,Saturday
2023-04-16,2023,April,4,2,15,Sunday
2023-04-17,2023,April,4,2,16,Monday
2023-04-18,2023,April,4,2,16,Tuesday
2023-04-19,2023,April,4,2,16,Wednesday
2023-04-20,2023,April,4,2,16,Thursday
2023-04-21,2023,April,4,2,16,Friday
2023-04-22,2023,April,4,2,16,Saturday
2023-04-23,2023,April,4,2,16,Sunday
2023-04-24,2023,April,4,2,17,Monday
2023-04-25,2023,April,4,2,17,Tuesday
2023-04-26,2023,April,4,2,17,Wednesday
2023-04-27,2023,April,4,2,17,Thursday
2023-04-28,2023,April,4,2,17,Friday
2023-04-29,2023,April,4,2,17,Saturday
2023-04-30,2023,April,4,2,17,Sunday
2023-05-01,2023,May,5,2,18,Monday
2023-05-02,2023,May,5,2,18,Tuesday
2023-05-03,2023,May,5,2,18,Wednesday
2023-05-04,2023,May,5,2,18,Thursday
2023-05-05,2023,May,5,2,18,Friday
2023-05-06,2023,May,5,2,18,Saturday
2023-05-07,2023,May,5,2,18,Sunday
2023-05-08,2023,May,5,2,19,Monday
2023-05-09,2023,May,5,2,19,Tuesday
2023-05-10,2023,May,5,2,19,Wednesday
2023-05-11,2023,May,5,2,19,Thursday
2023-05-12,2023,May,5,2,19,Friday
2023-05-13,2023,May,5,2,19,Saturday
2023-05-14,2023,May,5,2,19,Sunday
2023-05-15,2023,May,5,2,20,Monday
2023-05-16,2023,May,5,2,20,Tuesday
2023-05-17,2023,May,5,2,20,Wednesday
2023-05-18,2023,May,5,2,20,Thursday
2023-05-19,2023,May,5,2,20,Friday
2023-05-20,2023,May,5,2,20,Saturday
2023-05-21,2023,May,5,2,20,Sunday
2023-05-22,2023,May,5,2,21,Monday
2023-05-23,2023,May,5,2,21,Tuesday
2023-05-24,2023,May,5,2,21,Wednesday
2023-05-25,2023,May,5,2,21,Thursday
2023-05-26,2023,May,5,2,21,Friday
2023-05-27,2023,May,5,2,21,Saturday
2023-05-28,2023,May,5,2,21,Sunday
2023-05-29,2023,May,5,2,22,Monday
2023-05-30,2023,May,5,2,22,Tuesday
2023-05-31,2023,May,5,2,22,Wednesday
2023-06-01,2023,June,6,2,22,Thursday
2023-06-02,2023,June,6,2,22,Friday
2023-06-03,2023,June,6,2,22,Saturday
2023-06-04,2023,June,6,2,22,Sunday
2023-06-05,2023,June,6,2,23,Monday
2023-06-06,2023,June,6,2,23,Tuesday
2023-06-07,2023,June,6,2,23,Wednesday
2023-06-08,2023,June,6,2,23,Thursday
2023-06-09,2023,June,6,2,23,Friday
2023-06-10,2023,June,6,2,23,Saturday
2023-06-11,2023,June,6,2,23,Sunday
2023-06-12,2023,June,6,2,24,Monday
2023-06-13,2023,June,6,2,24,Tuesday
2023-06-14,2023,June,6,2,24,Wednesday
2023-06-15,2023,June,6,2,24,Thursday
2023-06-16,2023,June,6,2,24,Friday
2023-06-17,2023,June,6,2,24,Saturday
2023-06-18,2023,June,6,2,24,Sunday
2023-06-19,2023,June,6,2,25,Monday
2023-06-20,2023,June,6,2,25,Tuesday
2023-06-21,2023,June,6,2,25,Wednesday
2023-06-22,2023,June,6,2,25,Thursday
2023-06-23,2023,June,6,2,25,Friday
2023-06-24,2023,June,6,2,25,Saturday
2023-06-25,2023,June,6,2,25,Sunday
2023-06-26,2023,June,6,2,26,Monday
2023-06-27,2023,June,6,2,26,Tuesday
2023-06-28,2023,June,6,2,26,Wednesday
2023-06-29,2023,June,6,2,26,Thursday
2023-06-30,2023,June,6,2,26,Friday
2023-07-01,2023,July,7,3,26,Saturday
2023-07-02,2023,July,7,3,26,Sunday
2023-07-03,2023,July,7,3,27,Monday
2023-07-04,2023,July,7,3,27,Tuesday
2023-07-05,2023,July,7,3,27,Wednesday
2023-07-06,2023,July,7,3,27,Thursday
2023-07-07,2023,July,7,3,27,Friday
2023-07-08,2023,July,7,3,27,Saturday
2023-07-09,2023,July,7,3,27,Sunday
2023-07-10,2023,July,7,3,28,Monday
2023-07-11,2023,July,7,3,28,Tuesday
2023-07-12,2023,July,7,3,28,Wednesday
2023-07-13,2023,July,7,3,28,Thursday
2023-07-14,2023,July,7,3,28,Friday
2023-07-15,2023,July,7,3,28,Saturday
2023-07-16,2023,July,7,3,28,Sunday
2023-07-17,2023,July,7,3,29,Monday
2023-07-18,2023,July,7,3,29,Tuesday
2023-07-19,2023,July,7,3,29,Wednesday
2023-07-20,2023,July,7,3,29,Thursday
2023-07-21,2023,July,7,3,29,Friday
2023-07-22,2023,July,7,3,29,Saturday
2023-07-23,2023,July,7,3,29,Sunday
2023-07-24,2023,July,7,3,30,Monday
2023-07-25,2023,July,7,3,30,Tuesday
2023-07-26,2023,July,7,3,30,Wednesday
2023-07-27,2023,July,7,3,30,Thursday
2023-07-28,2023,July,7,3,30,Friday
2023-07-29,2023,July,7,3,30,Saturday
2023-07-30,2023,July,7,3,30,Sunday
2023-07-31,2023,July,7,3,31,Monday
2023-08-01,2023,August,8,3,31,Tuesday
2023-08-02,2023,August,8,3,31,Wednesday
2023-08-03,2023,August,8,3,31,Thursday
2023-08-04,2023,August,8,3,31,Friday
2023-08-05,2023,August,8,3,31,Saturday
2023-08-06,2023,August,8,3,31,Sunday
2023-08-07,2023,August,8,3,32,Monday
2023-08-08,2023,August,8,3,32,Tuesday
2023-08-09,2023,August,8,3,32,Wednesday
2023-08-10,2023,August,8,3,32,Thursday
2023-08-11,2023,August,8,3,32,Friday
2023-08-12,2023,August,8,3,32,Saturday
2023-08-13,2023,August,8,3,32,Sunday
2023-08-14,2023,August,8,3,33,Monday
2023-08-15,2023,August,8,3,33,Tuesday
2023-08-16,2023,August,8,3,33,Wednesday
2023-08-17,2023,August,8,3,33,Thursday
2023-08-18,2023,August,8,3,33,Friday
2023-08-19,2023,August,8,3,33,Saturday
2023-08-20,2023,August,8,3,33,Sunday
2023-08-21,2023,August,8,3,34,Monday
2023-08-22,2023,August,8,3,34,Tuesday
2023-08-23,2023,August,8,3,34,Wednesday
2023-08-24,2023,August,8,3,34,Thursday
2023-08-25,2023,August,8,3,34,Friday
2023-08-26,2023,August,8,3,34,Saturday
2023-08-27,2023,August,8,3,34,Sunday
2023-08-28,2023,August,8,3,35,Monday
2023-08-29,2023,August,8,3,35,Tuesday
2023-08-30,2023,August,8,3,35,Wednesday
2023-08-31,2023,August,8,3,35,Thursday
2023-09-01,2023,September,9,3,35,Friday
2023-09-02,2023,September,9,3,35,Saturday
2023-09-03,2023,September,9,3,35,Sunday
2023-09-04,2023,September,9,3,36,Monday
2023-09-05,2023,September,9,3,36,Tuesday
2023-09-06,2023,September,9,3,36,Wednesday
2023-09-07,2023,September,9,3,36,Thursday
2023-09-08,2023,September,9,3,36,Friday
2023-09-09,2023,September,9,3,36,Saturday
2023-09-10,2023,September,9,3,36,Sunday
2023-09-11,2023,September,9,3,37,Monday
2023-09-12,2023,September,9,3,37,Tuesday
2023-09-13,2023,September,9,3,37,Wednesday
2023-09-14,2023,September,9,3,37,Thursday
2023-09-15,2023,September,9,3,37,Friday
2023-09-16,2023,September,9,3,37,Saturday
2023-09-17,2023,September,9,3,37,Sunday
2023-09-18,2023,September,9,3,38,Monday
2023-09-19,2023,September,9,3,38,Tuesday
2023-09-20,2023,September,9,3,38,Wednesday
2023-09-21,2023,September,9,3,38,Thursday
2023-09-22,2023,September,9,3,38,Friday
2023-09-23,2023,September,9,3,38,Saturday
2023-09-24,2023,September,9,3,38,Sunday
2023-09-25,2023,September,9,3,39,Monday
2023-09-26,2023,September,9,3,39,Tuesday
2023-09-27,2023,September,9,3,39,Wednesday
2023-09-28,2023,September,9,3,39,Thursday
2023-09-29,2023,September,9,3,39,Friday
2023-09-30,2023,September,9,3,39,Saturday
2023-10-01,2023,October,10,4,39,Sunday
2023-10-02,2023,October,10,4,40,Monday
2023-10-03,2023,October,10,4,40,Tuesday
2023-10-04,2023,October,10,4,40,Wednesday
2023-10-05,2023,October,10,4,40,Thursday
2023-10-06,2023,October,10,4,40,Friday
2023-10-07,2023,October,10,4,40,Saturday
2023-10-08,2023,October,10,4,40,Sunday
2023-10-09,2023,October,10,4,41,Monday
2023-10-10,2023,October,10,4,41,Tuesday
2023-10-11,2023,October,10,4,41,Wednesday
2023-10-12,2023,October,10,4,41,Thursday
2023-10-13,2023,October,10,4,41,Friday
2023-10-14,2023,October,10,4,41,Saturday
2023-10-15,2023,October,10,4,41,Sunday
2023-10-16,2023,October,10,4,42,Monday
2023-10-17,2023,October,10,4,42,Tuesday
2023-10-18,2023,October,10,4,42,Wednesday
2023-10-19,2023,October,10,4,42,Thursday
2023-10-20,2023,October,10,4,42,Friday
2023-10-21,2023,October,10,4,42,Saturday
2023-10-22,2023,October,10,4,42,Sunday
2023-10-23,2023,October,10,4,43,Monday
2023-10-24,2023,October,10,4,43,Tuesday
2023-10-25,2023,October,10,4,43,Wednesday
2023-10-26,2023,October,10,4,43,Thursday
2023-10-27,2023,October,10,4,43,Friday
2023-10-28,2023,October,10,4,43,Saturday
2023-10-29,2023,October,10,4,43,Sunday
2023-10-30,2023,October,10,4,44,Monday
2023-10-31,2023,October,10,4,44,Tuesday
2023-11-01,2023,November,11,4,44,Wednesday
2023-11-02,2023,November,11,4,44,Thursday
2023-11-03,2023,November,11,4,44,Friday
2023-11-04,2023,November,11,4,44,Saturday
2023-11-05,2023,November,11,4,44,Sunday
2023-11-06,2023,November,11,4,45,Monday
2023-11-07,2023,November,11,4,45,Tuesday
2023-11-08,2023,November,11,4,45,Wednesday
2023-11-09,2023,November,11,4,45,Thursday
2023-11-10,2023,November,11,4,45,Friday
2023-11-11,2023,November,11,4,45,Saturday
2023-11-12,2023,November,11,4,45,Sunday
2023-11-13,2023,November,11,4,46,Monday
2023-11-14,2023,November,11,4,46,Tuesday
2023-11-15,2023,November,11,4,46,Wednesday
2023-11-16,2023,November,11,4,46,Thursday
2023-11-17,2023,November,11,4,46,Friday
2023-11-18,2023,November,11,4,46,Saturday
2023-11-19,2023,November,11,4,46,Sunday
2023-11-20,2023,November,11,4,47,Monday
2023-11-21,2023,November,11,4,47,Tuesday
2023-11-22,2023,November,11,4,47,Wednesday
2023-11-23,2023,November,11,4,47,Thursday
2023-11-24,2023,November,11,4,47,Friday
2023-11-25,2023,November,11,4,47,Saturday
2023-11-26,2023,November,11,4,47,Sunday
2023-11-27,2023,November,11,4,48,Monday
2023-11-28,2023,November,11,4,48,Tuesday
2023-11-29,2023,November,11,4,48,Wednesday
2023-11-30,2023,November,11,4,48,Thursday
2023-12-01,2023,December,12,4,48,Friday
2023-12-02,2023,December,12,4,48,Saturday
2023-12-03,2023,December,12,4,48,Sunday
2023-12-04,2023,December,12,4,49,Monday
2023-12-05,2023,December,12,4,49,Tuesday
2023-12-06,2023,December,12,4,49,Wednesday
2023-12-07,2023,December,12,4,49,Thursday
2023-12-08,2023,December,12,4,49,Friday
2023-12-09,2023,December,12,4,49,Saturday
2023-12-10,2023,December,12,4,49,Sunday
2023-12-11,2023,December,12,4,50,Monday
2023-12-12,2023,December,12,4,50,Tuesday
2023-12-13,2023,December,12,4,50,Wednesday
2023-12-14,2023,December,12,4,50,Thursday
2023-12-15,2023,December,12,4,50,Friday
2023-12-16,2023,December,12,4,50,Saturday
2023-12-17,2023,December,12,4,50,Sunday
2023-12-18,2023,December,12,4,51,Monday
2023-12-19,2023,December,12,4,51,Tuesday
2023-12-20,2023,December,12,4,51,Wednesday
2023-12-21,2023,December,12,4,51,Thursday
2023-12-22,2023,December,12,4,51,Friday
2023-12-23,2023,December,12,4,51,Saturday
2023-12-24,2023,December,12,4,51,Sunday
2023-12-25,2023,December,12,4,52,Monday
2023-12-26,2023,December,12,4,52,Tuesday
2023-12-27,2023,December,12,4,52,Wednesday
2023-12-28,2023,December,12,4,52,Thursday
2023-12-29,2023,December,12,4,52,Friday
2023-12-30,2023,December,12,4,52,Saturday
2023-12-31,2023,December,12,4,52,Sunday
